finca;variedad;lote;planta;diamF
sta.lu;pri;l3;pril3-6;12,4
sta.lu;pri;l3;pril3-6;12,7
sta.lu;pri;l3;pril3-6;13,7
sta.lu;pri;l3;pril3-6;13,25
sta.lu;pri;l3;pril3-6;13
sta.lu;pri;l3;pril3-6;13,8
sta.lu;pri;l3;pril3-6;12
sta.lu;pri;l3;pril3-6;12,1
sta.lu;pri;l3;pril3-6;12,1
sta.lu;pri;l3;pril3-6;12,9
sta.lu;pri;l3;pril3-7;15,1
sta.lu;pri;l3;pril3-7;13,6
sta.lu;pri;l3;pril3-7;13,4
sta.lu;pri;l3;pril3-7;14,1
sta.lu;pri;l3;pril3-7;13,35
sta.lu;pri;l3;pril3-7;13,6
sta.lu;pri;l3;pril3-7;14,5
sta.lu;pri;l3;pril3-7;12,65
sta.lu;pri;l3;pril3-5;13,9
sta.lu;pri;l3;pril3-5;17,05
sta.lu;pri;l3;pril3-5;16,8
sta.lu;pri;l3;pril3-5;13,9
sta.lu;pri;l3;pril3-5;16
sta.lu;pri;l3;pril3-5;16
sta.lu;pri;l3;pril3-5;15
sta.lu;pri;l3;pril3-5;19,9
sta.lu;pri;l3;pril3-5;15,3
sta.lu;pri;l3;pril3-5;15,4
sta.lu;pri;l3;pril3-1;12,1
sta.lu;pri;l3;pril3-1;13,1
sta.lu;pri;l3;pril3-1;13,4
sta.lu;pri;l3;pril3-1;11,95
sta.lu;pri;l3;pril3-1;12,8
sta.lu;pri;l3;pril3-1;13,4
sta.lu;pri;l3;pril3-1;13,3
sta.lu;pri;l3;pril3-1;12,1
sta.lu;pri;l3;pril3-1;13,6
sta.lu;pri;l3;pril3-1;12,6
sta.lu;pri;l3;pril3-2;14,4
sta.lu;pri;l3;pril3-2;14,2
sta.lu;pri;l3;pril3-2;14,6
sta.lu;pri;l3;pril3-2;14
sta.lu;pri;l3;pril3-2;14,75
sta.lu;pri;l3;pril3-2;14,7
sta.lu;pri;l3;pril3-2;14,9
sta.lu;pri;l3;pril3-2;14
sta.lu;pri;l3;pril3-2;14,85
sta.lu;pri;l3;pril3-2;13,7
sta.lu;pri;l3;pril3-3;14,4
sta.lu;pri;l3;pril3-3;13,6
sta.lu;pri;l3;pril3-3;15,6
sta.lu;pri;l3;pril3-3;16
sta.lu;pri;l3;pril3-3;16,9
sta.lu;pri;l3;pril3-3;12,95
sta.lu;pri;l3;pril3-3;17,1
sta.lu;pri;l3;pril3-3;16,2
sta.lu;pri;l3;pril3-3;13,85
sta.lu;pri;l3;pril3-3;14,3
sta.lu;pri;l3;pril3-4;15,05
sta.lu;pri;l3;pril3-4;15,3
sta.lu;pri;l3;pril3-4;14,6
sta.lu;pri;l3;pril3-4;15,85
sta.lu;pri;l3;pril3-4;14,5
sta.lu;pri;l3;pril3-4;15,2
sta.lu;pri;l3;pril3-4;14,75
sta.lu;pri;l3;pril3-4;14,4
sta.lu;pri;l3;pril3-4;14,2
sta.lu;pri;l3;pril3-4;14,8
tdb;pri;l2;pril2-7;14
tdb;pri;l2;pril2-7;15,1
tdb;pri;l2;pril2-7;15
tdb;pri;l2;pril2-7;16,1
tdb;pri;l2;pril2-7;16,9
tdb;pri;l2;pril2-7;16
tdb;pri;l2;pril2-7;15,25
tdb;pri;l2;pril2-7;14,3
tdb;pri;l2;pril2-7;13,6
tdb;pri;l2;pril2-7;14,65
tdb;pri;l2;pril2-7;14,4
tdb;pri;l2;pril2-7;13,45
tdb;pri;l2;pril2-6;14,7
tdb;pri;l2;pril2-6;17,8
tdb;pri;l2;pril2-6;15
tdb;pri;l2;pril2-6;15,55
tdb;pri;l2;pril2-6;13,7
tdb;pri;l2;pril2-6;15,3
tdb;pri;l2;pril2-6;14,4
tdb;pri;l2;pril2-6;13,85
tdb;pri;l2;pril2-6;13,8
tdb;pri;l2;pril2-6;13,25
tdb;pri;l2;pril2-6;12,1
tdb;pri;l2;pril2-6;13,1
tdb;pri;l2;pril2-6;14,5
tdb;pri;l2;pril2-6;13,9
tdb;pri;l2;pril2-5;17,6
tdb;pri;l2;pril2-5;14,35
tdb;pri;l2;pril2-5;17,6
tdb;pri;l2;pril2-5;14,13
tdb;pri;l2;pril2-5;13,95
tdb;pri;l2;pril2-5;15
tdb;pri;l2;pril2-5;12,9
tdb;pri;l2;pril2-5;13,8
tdb;pri;l2;pril2-5;11,95
tdb;pri;l2;pril2-5;16,6
tdb;pri;l2;pril2-5;13,95
tdb;pri;l2;pril2-5;15
tdb;pri;l2;pril2-5;12,7
tdb;pri;l2;pril2-5;12,45
tdb;pri;l2;pril2-5;13,6
tdb;pri;l2;pril2-4;17,05
tdb;pri;l2;pril2-4;15,65
tdb;pri;l2;pril2-4;19,8
tdb;pri;l2;pril2-4;16
tdb;pri;l2;pril2-4;16,85
tdb;pri;l2;pril2-4;15
tdb;pri;l2;pril2-4;14,2
tdb;pri;l2;pril2-4;13
tdb;pri;l2;pril2-4;14,2
tdb;pri;l2;pril2-4;15,25
tdb;pri;l2;pril2-4;13,14
tdb;pri;l2;pril2-4;17
tdb;pri;l2;pril2-4;16,2
tdb;pri;l2;pril2-3;14,75
tdb;pri;l2;pril2-3;18,4
tdb;pri;l2;pril2-3;15,95
tdb;pri;l2;pril2-3;17
tdb;pri;l2;pril2-3;15,55
tdb;pri;l2;pril2-3;14,7
tdb;pri;l2;pril2-3;15,5
tdb;pri;l2;pril2-3;15,8
tdb;pri;l2;pril2-3;13,8
tdb;pri;l2;pril2-3;14,5
tdb;pri;l2;pril2-3;13,6
tdb;pri;l2;pril2-3;14,3
tdb;pri;l2;pril2-3;13
tdb;pri;l2;pril2-2;14,55
tdb;pri;l2;pril2-2;16,15
tdb;pri;l2;pril2-2;14,9
tdb;pri;l2;pril2-2;14,8
tdb;pri;l2;pril2-2;14,65
tdb;pri;l2;pril2-2;12,7
tdb;pri;l2;pril2-2;15
tdb;pri;l2;pril2-2;13,05
tdb;pri;l2;pril2-2;12,5
tdb;pri;l2;pril2-2;14
tdb;pri;l2;pril2-2;16
tdb;pri;l2;pril2-2;16,6
tdb;pri;l2;pril2-2;14,6
tdb;pri;l2;pril2-2;13,6
tdb;pri;l2;pril2-2;11,9
tdb;pri;l2;pril2-2;11,3
tdb;pri;l2;pril2-2;11,65
tdb;pri;l2;pril2-1;14,05
tdb;pri;l2;pril2-1;12,5
tdb;pri;l2;pril2-1;16,55
tdb;pri;l2;pril2-1;13,6
tdb;pri;l2;pril2-1;12,6
tdb;pri;l2;pril2-1;15,2
tdb;pri;l2;pril2-1;12,2
tdb;pri;l2;pril2-1;15,95
tdb;pri;l2;pril2-1;13,6
tdb;pri;l2;pril2-1;15,5
tdb;pri;l2;pril2-1;17,2
tdb;pri;l2;pril2-1;13,7
tdb;pri;l2;pril2-1;12,6
tdb;pri;l3;pril3-7;17,65
tdb;pri;l3;pril3-7;15,95
tdb;pri;l3;pril3-7;14,15
tdb;pri;l3;pril3-7;15,4
tdb;pri;l3;pril3-7;13,8
tdb;pri;l3;pril3-7;15,8
tdb;pri;l3;pril3-7;15,65
tdb;pri;l3;pril3-7;16
tdb;pri;l3;pril3-7;12,7
tdb;pri;l3;pril3-7;12,4
