fecha;finca;variedad;lote ;planta;no.flo;hora;hora(unidad);temp;no.flo.vis;t.v(floVis/noFlo);S;S(pla);S(12m2);a.mellifera(fv);a.mellifera;apis.negra(fv);apis.negra(pla);apis.sp1(fv);apis.sp1(pla);a.verde(fv);a.verde;abe.Peq(fv);picaflor(fv);picaflor(12m2);picaflor.S(12m2);chloro(12m2);saphoo(12m2);amazillia(12m2);michrostilbon(12m2);elefante(fv);elefante;mosquito;syrphidae(fv);syrphidae.S;syrphidae(pla);SyrGra-G;syrphidae tigrePE;syrphi apis;syrphi gordo;syrPe;syrPe(pla);syrGra;syrGra(pla);abejorro(fv);abejorro(12m2);abejorro.S(12m2);b.atratusPe(12m2);b.atratusGra(12m2);bombusSP1(12m2);mariposa(fv);mariposa;mariposa.S;monarca;lunares;mariposa1;coleoptero
43661;sta.lu;pri;l1;pril1-1;89;9,27;0,38625;15;10;0,112359551;2;2;2;8;5;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;pri;l1;pril1-2;60;9,42;0,3925;16;15;0,25;1;1;1;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;pri;l1;pril1-3;84;9,57;0,39875;16;12;0,142857143;1;1;1;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;pri;l1;pril1-4;82;10,17;0,42375;16;10;0,12195122;1;1;1;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;pri;l1;pril1-5;73;10,32;0,43;16;11;0,150684932;1;1;2;11;8;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;pri;l1;pril1-6;47;11,17;0,465416667;16;10;0,212765957;1;1;2;10;7;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;pri;l1;pril1-7;69;11,7;0,4875;16;19;0,275362319;1;1;1;19;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;sj;l1;sj1-1;75;13,19;0,549583333;20;13;0,173333333;1;1;2;13;7;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;sj;l1;sj1-2;83;13,29;0,55375;20;19;0,228915663;1;1;1;19;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;sj;l1;sj1-3;46;14,46;0,6025;20;13;0,282608696;1;1;1;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;sj;l1;sj1-4;49;14,56;0,606666667;20;19;0,387755102;1;1;1;19;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;sj;l1;sj1-5;57;15,09;0,62875;20;16;0,280701754;1;1;1;16;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;sj;l1;sj1-6;51;15,18;0,6325;20;14;0,274509804;1;1;1;14;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43661;sta.lu;sj;l1;sj1-7;63;15,28;0,636666667;19;11;0,174603175;1;1;1;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43663;sta.lu;sj;l6;sj6-1;92;9,29;0,387083333;12;10;0,108695652;1;1;1;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43663;sta.lu;sj;l6;sj6-2;127;9,39;0,39125;12;9;0,070866142;1;1;2;9;4;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43663;sta.lu;sj;l6;sj6-3;80;9,51;0,39625;14;6;0,075;1;1;2;6;4;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43663;sta.lu;sj;l6;sj6-4;103;10,02;0,4175;14;10;0,097087379;2;2;2;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43663;sta.lu;sj;l6;sj6-5;82;10,17;0,42375;15;6;0,073170732;1;1;3;6;3;0;0;0;0;0;0;0;0;3;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43663;sta.lu;sj;l6;sj6-6;91;10,29;0,42875;15;8;0,087912088;1;1;3;8;6;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43663;sta.lu;sj;l6;sj6-7;46;10,38;0,4325;16;7;0,152173913;1;1;1;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43663;sta.lu;pri;l3;pril3-1;88;11,45;0,477083333;17;15;0,170454545;2;2;2;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
43663;sta.lu;pri;l3;pril3-2;91;12,1;0,504166667;18;11;0,120879121;1;1;1;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
43663;sta.lu;pri;l3;pril3-3;83;12,21;0,50875;18;17;0,204819277;1;1;3;17;9;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
43663;sta.lu;pri;l3;pril3-4;116;11,25;0,46875;17;7;0,060344828;2;2;3;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;2;2;0;1;1;1;0;0;0;0;0;0;0;0;0
43663;sta.lu;pri;l3;pril3-5;92;11,54;0,480833333;17;4;0,043478261;1;1;3;4;2;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0
43663;sta.lu;pri;l3;pril3-6;76;10,56;0,44;16;7;0,092105263;1;1;3;7;6;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0
43663;sta.lu;pri;l3;pril3-7;102;11,13;0,46375;17;4;0,039215686;1;1;3;4;4;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0
43663;sta.lu;pri;l2;pril2-1;93;13,38;0,5575;19;10;0,107526882;1;1;4;10;6;0;0;0;0;0;0;0;0;5;2;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
43663;sta.lu;pri;l2;pril2-2;73;13,51;0,562916667;19;15;0,205479452;2;2;4;14;9;0;0;0;0;0;0;0;0;5;2;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;0;0;3;0;0;0;0;0;0;0
